"","Sample","Group"
"GSM2233086","GSM2233086","Tumor"
"GSM2233087","GSM2233087","Tumor"
"GSM2233088","GSM2233088","Tumor"
"GSM2233089","GSM2233089","Tumor"
"GSM2233090","GSM2233090","Tumor"
"GSM2233091","GSM2233091","Tumor"
"GSM2233092","GSM2233092","Tumor"
"GSM2233093","GSM2233093","Tumor"
"GSM2233094","GSM2233094","Tumor"
"GSM2233095","GSM2233095","Tumor"
"GSM2233096","GSM2233096","Tumor"
"GSM2233097","GSM2233097","Tumor"
"GSM2233098","GSM2233098","Tumor"
"GSM2233099","GSM2233099","Tumor"
"GSM2233100","GSM2233100","Normal"
"GSM2233101","GSM2233101","Normal"
"GSM2233102","GSM2233102","Normal"
"GSM2233103","GSM2233103","Normal"
"GSM2233104","GSM2233104","Normal"
"GSM2233105","GSM2233105","Normal"
"GSM2233106","GSM2233106","Normal"
"GSM2233107","GSM2233107","Normal"
"GSM2233108","GSM2233108","Normal"
"GSM2233109","GSM2233109","Normal"
"GSM2233110","GSM2233110","Normal"
"GSM2233111","GSM2233111","Normal"
"GSM2233112","GSM2233112","Normal"
"GSM2233113","GSM2233113","Normal"
