"","Group"
"GSM2233086","Tumor"
"GSM2233087","Normal"
"GSM2233088","Tumor"
"GSM2233089","Normal"
"GSM2233090","Tumor"
"GSM2233091","Normal"
"GSM2233092","Tumor"
"GSM2233093","Normal"
"GSM2233094","Tumor"
"GSM2233095","Normal"
"GSM2233096","Tumor"
"GSM2233097","Normal"
"GSM2233098","Tumor"
"GSM2233099","Normal"
"GSM2233100","Tumor"
"GSM2233101","Normal"
"GSM2233102","Tumor"
"GSM2233103","Normal"
"GSM2233104","Tumor"
"GSM2233105","Normal"
"GSM2233106","Tumor"
"GSM2233107","Normal"
"GSM2233108","Tumor"
"GSM2233109","Normal"
"GSM2233110","Tumor"
"GSM2233111","Normal"
"GSM2233112","Tumor"
"GSM2233113","Normal"
