"sample","group","title"
"GSM2233086","Tumor","sample1,cancertissue,male"
"GSM2233087","Normal","sample2,non-canceroustissue,male"
"GSM2233088","Tumor","sample3,cancertissue,male"
"GSM2233089","Normal","sample4,non-canceroustissue,male"
"GSM2233090","Tumor","sample5,cancertissue,male"
"GSM2233091","Normal","sample6,non-canceroustissue,male"
"GSM2233092","Tumor","sample11,cancertissue,male"
"GSM2233093","Normal","sample12,non-canceroustissue,male"
"GSM2233094","Tumor","sample15,cancertissue,male"
"GSM2233095","Normal","sample16,non-canceroustissue,male"
"GSM2233096","Tumor","sample17,cancertissue,male"
"GSM2233097","Normal","sample18,non-canceroustissue,male"
"GSM2233098","Tumor","sample21,cancertissue,female"
"GSM2233099","Normal","sample22,non-canceroustissue,female"
"GSM2233100","Tumor","sample23,cancertissue,female"
"GSM2233101","Normal","sample24,non-canceroustissue,female"
"GSM2233102","Tumor","sample25,cancertissue,female"
"GSM2233103","Normal","sample26,non-canceroustissue,female"
"GSM2233104","Tumor","sample27,cancertissue,female"
"GSM2233105","Normal","sample28,non-canceroustissue,female"
"GSM2233106","Tumor","sample29,cancertissue,female"
"GSM2233107","Normal","sample30,non-canceroustissue,female"
"GSM2233108","Tumor","sample31,cancertissue,male"
"GSM2233109","Normal","sample32,non-canceroustissue,male"
"GSM2233110","Tumor","sample33,cancertissue,male"
"GSM2233111","Normal","sample34,non-canceroustissue,male"
"GSM2233112","Tumor","sample35,cancertissue,male"
"GSM2233113","Normal","sample36,non-canceroustissue,male"
