"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"205404_at",-1612.70714285714,1165.83214285714,-8.08010590802681,1.1820902082376e-08,0.000239957867286678,4.76352334216553,"Down"
"227654_at",-82.1142857142857,56.9714285714286,-8.04100654059327,1.29762359705365e-08,0.000239957867286678,4.72216827432475,"Down"
"209469_at",-62.2,47.6857142857143,-8.02845970879475,1.33709685466643e-08,0.000239957867286678,4.70884572928702,"Down"
"220114_s_at",-89.2214285714286,66.7178571428571,-7.85941018821483,2.0062256640248e-08,0.000239957867286678,4.52687104555471,"Down"
"223967_at",-59.2285714285714,42.85,-7.73240980460037,2.72788580116508e-08,0.000239957867286678,4.38710423773021,"Down"
"220295_x_at",18.1857142857143,15.1928571428571,7.70219108051909,2.93570185020478e-08,0.000239957867286678,4.35345827739819,"Up"
"208581_x_at",-3238.72857142857,2638.32142857143,-7.68351459806953,3.0721629099346e-08,0.000239957867286678,4.33258840575387,"Down"
"1559065_a_at",-168.592857142857,103.589285714286,-7.51111109142323,4.68283692593024e-08,0.000320042636156545,4.13721064477739,"Down"
"218510_x_at",-40.1142857142857,32.9142857142857,-7.44272012717769,5.54093742086468e-08,0.000335965078830219,4.05833521043943,"Down"
"209365_s_at",-119.835714285714,110.632142857143,-7.40079529013577,6.14476595940045e-08,0.000335965078830219,4.0095961107034,"Down"
"211456_x_at",-3403.75714285714,2600.93571428571,-7.32754195804874,7.36588002171723e-08,0.000366117718352172,3.92372811668912,"Down"
"206380_s_at",-89.7,58.1785714285714,-7.23205890025435,9.33826138248829e-08,0.000425474534239623,3.81044514972487,"Down"
"204326_x_at",-2247.77857142857,1719.70357142857,-7.14188811605749,1.16955373213763e-07,0.000491887310035578,3.70204979084699,"Down"
"212859_x_at",-2706.27142857143,2319.65,-7.08681606981676,1.34256169622684e-07,0.000495540327557955,3.6351691747292,"Down"
"204931_at",-19.4714285714286,23.0714285714286,-7.08181628309726,1.35950707148959e-07,0.000495540327557955,3.62907184456335,"Down"
"237350_at",-226.707142857143,141.389285714286,-7.01498009419073,1.60813808813449e-07,0.000526542120114038,3.54715610305448,"Down"
"205911_at",-70.8285714285714,67.0642857142857,-7.00787300401554,1.63716800035458e-07,0.000526542120114038,3.53840085666229,"Down"
"204719_at",-380.385714285714,257.492857142857,-6.93827759851831,1.95126327982411e-07,0.000592696221246572,3.45221212704793,"Down"
"241986_at",-17.4642857142857,12.2321428571429,-6.87277128173948,2.30295014259604e-07,0.000642979952085493,3.3703345461636,"Down"
