"","Gene","GSM223386","GSM223387","GSM223388","GSM223389","GSM223390","GSM223391","GSM223392","GSM223393","GSM223394","GSM223395","GSM223396","GSM223397","GSM223398","GSM223399","GSM2233100","GSM2233101","GSM2233102","GSM2233103","GSM2233104","GSM2233105","GSM2233106","GSM2233107","GSM2233108","GSM2233109","GSM2233110","GSM2233111","GSM2233112","GSM2233113"
"Gene_1","Gene_1",5.43952435344779,5.2847578127772,7.07401226028199,4.98588582733853,6.61985007456869,5.17901330288,4.71063581177678,5.79985298728424,5.51686493134773,3.99387996867988,5.84969252213592,5.69604169285067,5.78637690959014,4.18529291470312,6.6509932795695,6.8343714939379,5.36728644541172,6.2535223408132,5.3957970391563,5.26810616759523,5.3007718938559,5.97246496658944,5.18352659791291,4.3159291179531,6.92823300523863,6.35000252106422,7.16326308160103,4.98384814533545
"Gene_2","Gene_2",5.76982251051672,5.24731103178226,5.97265303358626,5.20868612118053,5.24248983930415,5.69274276701136,5.34543136188675,6.38782024476882,5.46865308050945,5.79417358221705,5.67224286721354,8.18417322839228,7.19787605791361,5.82654866984789,5.10483201188998,5.30159605168837,6.10917161767973,6.24352214016804,6.91341596076617,6.5433130211432,6.9964515296664,4.26908196136257,7.02206117151421,5.81285367175249,6.3590904622407,6.8144417092895,6.167895893067,5.48001674894028
"Gene_3","Gene_3",7.55870831414912,7.10139020159332,5.96666965772408,8.33952258993978,6.85152468150618,7.13783089666075,5.94267589615222,8.83384727225171,5.4123152434141,6.39087213274435,4.55183470981601,8.90962018841877,6.23180313344191,8.99369666647221,7.29299293500947,9.34916938738893,4.43744341586391,8.75951915511533,7.65745634787285,7.04085890352299,5.30725464643167,7.23053145941825,5.38235232521441,7.834650869762,6.18675733805154,7.523262778376,6.161522012874,8.11051721886355
"Gene_4","Gene_4",6.07050839142458,4.94748672066126,4.4839323768489,7.63905190875156,5.25207002908369,6.62706874311498,7.25674782035705,5.85948604175164,5.5883021310125,5.98469212680766,5.30271541544838,5.77159379631268,5.49715854804926,6.70378758447782,3.9257934143038,5.01982237311164,5.95975456718515,6.77273298023511,5.96112241616549,5.29571277485382,5.8965169531613,4.62130013436266,6.49971564623905,5.27351459316726,5.58015456025517,3.30773559703966,5.56575533519276,6.40964363223883
"Gene_5","Gene_5",6.12928773516095,5.5628404668196,6.79038534388823,7.08461700867092,6.63023982965398,7.12035502842611,7.58745413986454,6.45580519894587,6.70918562125338,5.10509832248658,8.59849023212988,4.09655358047668,6.63045713048706,5.36871504959742,4.88753987770638,6.74798510274554,5.96367007028127,5.99147713572377,5.66870854781592,7.3831119600583,6.60386606431871,8.84874403329634,5.86315252087743,5.10768255582846,4.8340197321415,4.90304535931889,7.324752381568,4.34518327378726
"Gene_6","Gene_6",7.71506498688328,6.33117917295898,5.78926581930822,5.37543252638191,7.09666163310355,8.12721355249353,6.31948146254475,4.85442709291404,6.25639675353566,6.04631972418357,5.96258498636595,5.71335852927624,6.95729752578092,6.90759176820985,5.66165410754,7.25779662068081,5.72107441850809,5.61093084501825,6.62606684082181,6.16030420323194,5.39195501664054,4.720369719695,6.60137480510287,5.94733896877889,5.72326217416058,4.74452492476224,6.5267629616544,5.60737597228517
"Gene_7","Gene_7",6.4609162059892,3.98578950207928,5.34325707463892,6.82592290164749,5.01155707761679,6.36611438293172,6.38159162269315,5.75034931183113,4.1436394136952,6.46100407938378,6.91349189044332,6.99038892010019,5.92551713685834,5.60303667426635,5.29930248002929,7.2221833523778,4.70687055062061,7.32823335412769,5.87935641539815,5.55621114090186,6.08486612051999,6.62139309522755,4.15103762590351,7.78378200048199,5.14374216730192,5.36278922231028,5.14965215561585,3.95986636235492
"Gene_8","Gene_8",4.73493876539347,6.21198043337229,4.58797420734169,5.95143164724371,7.1079950409796,5.12521862280631,5.75635511636056,5.57970172450596,4.13941237018555,5.49626123280206,5.81547350173527,6.37282099271425,3.32183558917907,6.38195896545347,7.34694517132456,5.88783915729948,7.16680080614526,6.05301255226222,6.0136256983845,4.82210863778098,7.57799019874749,7.34149424244086,6.23767721479805,5.64899293015999,6.13942430537272,5.60908384807266,6.28847810200592,6.54066545461425
"Gene_9","Gene_9",5.31314714810647,7.23667504641657,5.70023750335373,6.3013136517184,5.51046712878759,7.02447486299323,6.04805308405303,6.19566450356004,5.97716590626565,4.977601543784,6.60982429616145,6.27210736801552,7.63616438658732,6.92853270114265,5.939574028074,6.69220014293422,4.51462595288734,5.62373484203433,6.25221348444686,6.7173104123426,5.53634625629439,5.67618827788867,5.85069060358446,7.1273350100928,6.03152455293742,6.99442197204641,7.10759012504641,5.33467881131483
"Gene_10","Gene_10",5.55433802990004,8.03757401824043,5.15093886498329,6.26036149073656,6.29435338843697,6.90475889369531,4.59545413889821,6.35731951384298,6.14993874728104,5.38825777096969,5.94727319101203,7.04509363912809,5.24936945136362,6.39057608876817,6.35480441562479,3.86235850014487,4.52287958968019,5.0537616531218,7.0895061399478,5.44620478841853,4.84147299410301,6.14438347086706,7.38733458917175,5.75361088811697,5.66347866243908,4.5769803367108,5.739559716108,7.38052005512718
